ra dec err_maj err_min err_ang designation j_m j_cmsig j_msigcom j_snr h_m h_cmsig h_msigcom h_snr k_m k_cmsig k_msigcom k_snr ph_qual rd_flg bl_flg cc_flg ndet prox pxpa pxcntr gal_contam mp_flg cntr hemis xdate scan glon glat x y z x_scan jdate j_psfchi h_psfchi k_psfchi j_m_stdap j_msig_stdap h_m_stdap h_msig_stdap k_m_stdap k_msig_stdap dist_edge_ns dist_edge_ew dist_edge_flg dup_src use_src a dist_opt phi_opt b_m_opt vr_m_opt nopt_mchs ext_key scan_key coadd_key coadd htm20
56.795936 24.445807 0.24 0.23 108 03471102+2426449 16.717 0.132 0.133 7.7 16.128 0.186 0.186 6.1 15.791 0.212 0.212 4.8 BCD 222 111 000 060606 26.6 164 1175598530 0 0 1175598541 n 2000-09-24 126 166.363 -23.249 0.4985299077470000 0.7617156276950000 0.4138323738030000 -79.3 2451812.0087 1.05 0.77 1.05 16.407 0.170 16.476 0.399 17.379 2.870 2142.5 172.8 se 0 1 0 "" "" "" "" 0 "" 63193 1453419 32 17404890157724.0
56.822490 24.443726 0.07 0.07 17 03471739+2426374 15.552 0.062 0.063 22.5 15.122 0.068 0.069 15.3 14.977 0.105 0.105 10.2 AAA 222 111 000 660606 33.1 298 1175598545 0 0 1175598537 n 2000-09-24 126 166.384 -23.235 0.4981850584020000 0.7619591716520000 0.4137993092300000 -166.3 2451812.0087 1.00 1.24 1.04 15.424 0.040 15.324 0.197 14.789 0.204 2134.5 85.8 se 0 1 U 0.1 235 19.50 17.70 1 "" 63193 1453419 32 17404890205806.0
56.827530 24.453718 0.06 0.06 0 03471860+2427133 9.360 0.017 0.024 6736.4 8.741 0.030 0.032 5464.0 8.651 0.022 0.024 3475.5 AAA 122 111 000 666666 35.8 327 1175598583 0 0 1175598559 n 2000-09-24 126 166.381 -23.224 0.4980785382320000 0.7619425766700000 0.4139580650390000 -182.8 2451812.0087 1.05 0.73 1.17 9.382 0.007 8.755 0.034 8.655 0.012 2170.4 69.3 se 0 1 U 0.2 70 13.20 11.00 1 "" 63193 1453419 32 17404890210458.0
56.845406 24.450508 0.08 0.08 45 03472289+2427018 15.112 0.043 0.045 26.5 14.706 0.066 0.066 15.4 14.873 0.125 0.125 8.9 AAB 222 111 000 563606 31.3 68 440352664 0 0 440352669 n 1998-11-21 56 166.396 -23.216 0.4978534746140000 0.7621173527490001 0.4139070649950000 204.6 2451138.7116 0.96 0.95 0.88 15.201 0.076 14.658 0.107 15.217 0.227 2151.1 47.7 sw 1 1 U 0.4 246 17.50 16.10 1 "" 25686 590776 244 17404890223293.0
56.804817 24.420961 0.19 0.17 158 03471315+2425154 16.272 0.093 0.094 11.6 15.735 0.114 0.115 8.7 15.429 0.165 0.166 6.8 ABC 222 111 000 160606 52.6 324 1175598514 0 0 1175598485 n 2000-09-24 126 166.388 -23.262 0.4985100378770000 0.7619429911400000 0.4134375652850000 -108.4 2451812.0086 1.78 1.06 1.18 16.405 0.286 15.443 0.129 15.114 0.212 2052.9 143.7 se 0 1 0 "" "" "" "" 0 "" 63193 1453419 32 17404890252746.0
56.831549 24.419386 0.08 0.08 0 03471957+2425097 16.035 0.080 0.081 14.4 15.376 0.080 0.081 12.1 15.242 0.134 0.134 8.0 AAB 222 111 000 160606 17.9 115 1175598472 0 0 1175598475 n 2000-09-24 126 166.409 -23.247 0.4981607080390000 0.7621850066800000 0.4134125355600000 -196.0 2451812.0086 0.83 1.44 0.97 16.041 0.170 15.930 0.390 15.448 0.307 2046.8 56.1 se 0 1 U 0.1 226 19.40 17.40 1 "" 63193 1453419 32 17404890267935.0
56.821697 24.422604 0.19 0.18 62 03471720+2425213 16.415 0.107 0.108 10.2 15.648 0.113 0.114 9.4 15.409 0.150 0.150 6.9 ABC 222 111 0c0 060606 34.3 110 1175598475 0 0 1175598494 n 2000-09-24 126 166.399 -23.251 0.4982790508610000 0.7620799017560000 0.4134636753250000 -163.7 2451812.0086 1.29 1.01 0.90 16.486 0.202 15.807 0.222 16.144 0.562 2058.5 88.3 se 0 1 0 "" "" "" "" 0 "" 63193 1453419 32 17404890278022.0
56.836505 24.417292 0.07 0.06 0 03472076+2425022 15.746 0.092 0.093 18.8 15.086 0.099 0.099 15.8 14.588 0.096 0.096 14.7 AAA 222 111 000 564656 17.9 295 1175598475 0 0 1175598472 n 2000-09-24 126 166.414 -23.246 0.4981030430830000 0.7622407414800000 0.4133792574610000 -212.3 2451812.0086 1.68 1.09 1.31 15.323 0.113 14.658 0.091 14.108 0.055 2039.2 39.8 se 1 1 U 0.4 340 19.60 17.40 1 2326658 63193 1453419 32 17404890350494.0
56.837645 24.437939 0.06 0.06 0 03472103+2426165 14.942 0.045 0.047 39.4 14.509 0.058 0.059 26.9 14.345 0.069 0.069 18.3 AAA 222 111 000 665635 51.9 29 440352669 0 0 1175598529 n 2000-09-24 126 166.400 -23.230 0.4980063589210000 0.7621259006670000 0.4137073579330000 -216.0 2451812.0086 1.07 1.24 1.03 14.880 0.040 14.386 0.169 14.299 0.080 2113.5 36.1 se 1 1 U 0.5 101 17.10 16.00 1 "" 63193 1453419 32 17404890404376.0
56.958240 24.552799 0.30 0.25 90 03474997+2433100 16.345 0.121 0.121 8.5 15.645 0.161 0.162 6.5 15.507 0.208 0.208 4.9 BCD 222 111 000 060605 29.7 249 440352487 0 0 440352483 n 1998-11-21 56 166.404 -23.071 0.4959479477750000 0.7624756478850000 0.4155316106870000 -165.0 2451138.7115 1.15 1.18 1.18 16.533 0.393 15.758 0.169 15.892 0.312 2521.7 83.7 se 0 1 0 "" "" "" "" 0 "" 25686 590776 244 17404890480601.0
