gaia_designation gaia_ra gaia_dec ra_error dec_error parallax parallax_error pmra pmra_error pmdec pmdec_error phot_g_mean_mag bp_rp bp_g g_rp phot_g_n_obs phot_g_mean_flux_over_error phot_g_mean_flux_error phot_g_mean_flux phot_bp_mean_mag phot_rp_mean_mag 2mass_designation 2mass_ra 2mass_dec err_maj err_min j_m h_m k_m j_cmsig h_cmsig k_cmsig k_snr allwise_designation allwise_ra allwise_dec sigra sigdec w1mpro w2mpro w3mpro w4mpro w1sigmpro w2sigmpro w3sigmpro w4sigmpro w4snr variability radial_distance
"Gaia DR2 2059895834484462208" 301.26903105792906 36.47615009398434 0.31784553137786575 0.3731252605724005 -0.06309424102205119 0.4293831987536141 -0.6106916274293486 0.726417177293255 -7.833164275235222 0.865856163334252 19.969816207885742 1.4940681457519531 0.41788291931152344 1.0761852264404297 263 245.56216430664062 0.7893299662880303 193.8295734137416 20.387699127197266 18.893630981445312 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.0348970477006916 -15849.307065132996
"Gaia DR2 2059895834484464896" 301.2713014037818 36.479875595612434 0.48336496905358883 0.7027281029491271 0.6009383726471451 0.7111439370381756 -3.68333567287537 1.0394636332296683 -6.473372319651631 1.864299623842213 20.411466598510742 2.300922393798828 0.4356651306152344 1.8652572631835938 237 143.12579345703125 0.9016570910603997 129.05039248807861 20.847131729125977 18.54620933532715 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.2868123470802022 1664.0641462035128
"Gaia DR2 2059895765769424512" 301.2728398769884 36.4746224850918 0.7284689764287692 1.2643525755061145 0.2549422613035846 1.0920807888150523 -3.8598260395675412 1.655353687772965 -5.2250114041270885 3.5941711986649234 20.824796676635742 1.1391983032226562 -0.2171916961669922 1.3563899993896484 186 104.77853393554688 0.8416955190824557 88.19162273826052 20.60760498046875 19.468406677246094 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.332356096138801 3922.4567746702555
"Gaia DR2 2059895868848637696" 301.27995320689814 36.48246898271544 0.754885292624984 1.2013488423834275 0.8391958410472535 1.0403694941271027 -1.6994542694617427 1.758432170345477 -7.060947141014528 3.7667297320972617 20.825477600097656 1.2750911712646484 0.07921600341796875 1.1958751678466797 164 93.09813690185547 0.9467042995113661 88.13640873998735 20.904693603515625 19.629602432250977 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.3272460120002976 1191.6169636304141
"Gaia DR2 2059895834484470272" 301.2679152690659 36.47614173345847 0.3280120515753926 0.40949755062948234 0.5556663575160525 0.448832174343666 -2.5608089594983943 0.7233457982484839 -1.8480834113078166 0.921464109408609 19.91044044494629 1.8570995330810547 0.7543392181396484 1.1027603149414062 263 222.3975830078125 0.9205350565412216 204.7247675531864 20.664779663085938 18.807680130004883 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.0874588767853985 1799.6410732336108
"Gaia DR2 2059895937563685248" 301.28012111484344 36.49295426660882 0.6261324032062433 0.858744716336169 1.4260246377241605 0.8837325149059716 0.6592437990063548 1.2582206082986755 -3.027374697088204 2.198257241115516 20.63064193725586 1.6120834350585938 0.2878742218017578 1.324209213256836 210 134.91168212890625 0.7816995369338624 105.46040007990028 20.918516159057617 19.306432723999023 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.2476272986069397 701.2501562356824
"Gaia DR2 2059895937563663616" 301.27891830868685 36.4866329860326 0.31871793325001063 0.3904325215011994 0.23818405831125614 0.4338020471278442 -2.1027377587353846 0.7020010123077317 -3.1927657330794283 0.8887934358054249 19.97214126586914 1.9248828887939453 0.7327842712402344 1.192098617553711 253 230.69821166992188 0.8383894827840032 193.41495553301132 20.704925537109375 18.78004264831543 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.047220527471414 4198.433795653997
"Gaia DR2 2059895937563663488" 301.28261036766617 36.491689007972475 0.9763066215578711 1.864370132452191 0.0 0.0 0.0 0.0 0.0 0.0 20.81914520263672 1.7854480743408203 0.19655990600585938 1.588888168334961 133 80.9028549194336 1.095781634356736 88.65186224541303 21.015705108642578 19.230257034301758 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.282164938817647 ""
"Gaia DR2 2059895834489048832" 301.27321831320245 36.48627710545928 0.7525817831941707 1.4510936091507316 0.5755733378841319 1.1468474828561728 1.7849311675724535 1.843526362715781 -13.878076910595201 4.2670422162496715 20.788829803466797 1.4042701721191406 -0.21745872497558594 1.6217288970947266 185 91.55249786376953 0.9957359136455145 91.16211363053124 20.57137107849121 19.16710090637207 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.421512769366235 1737.3980589095825
"Gaia DR2 2059895765764901888" 301.28089712540697 36.47364751178646 0.6773253094442897 0.9194108569040109 0.023882952336204355 0.9653516574652101 -5.817211907145959 1.3892357613804547 -1.698945298657635 2.6428232707107036 20.682992935180664 2.093822479248047 0.5943050384521484 1.4995174407958984 181 117.88055419921875 0.8525242703863071 100.49603249980089 21.277297973632812 19.183475494384766 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.2391337986123456 41870.870314642474
